SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-566,330.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-33uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-937,0.33,μF,63V,5%,WIMA,Radial,th,0.29,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-mks2-0.33uf-63v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4167,330.0,nF,100V,10%,WIMA,Radial,th,0.38,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-330nf-0-33uf-100v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7068,330.0,nF,100V,5%,FARATRONIC,Radial,th,0.13,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-33uf-100v-5-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
A-7593,330.0,pF,100V,5%,WIMA,Radial,th,0.35,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/330pf-100vdc-5-film-foil-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4761,0.47,μF,63V,5%,ARCOTRONICS/KEMET,Radial,th,0.16,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-47-uf-63v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-568,470.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.20,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-47uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-312,470.0,nF,100V,10%,WIMA,Radial,th,0.44,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-470nf-0-47uf-100v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4163,470.0,nF,100V,5%,WIMA,Radial,th,0.34,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-470nf-0-47uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-5785,470.0,nF,250V,10%,WIMA,Radial,th,1.50,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-470nf-0-47uf-250v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4849,0.47,μF,630V,10%,AEC,Radial,th,0.40,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-47uf-470nf-630v-10-metallized-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-3984,0.47,μF,100V,5%,KEMET,Radial,th,0.25,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-47uf-100v-5-kemet-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-710,680.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-68uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-7590,6.8,μF,50V,10%,WIMA,Radial,th,1.90,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/6-8-uf-50vdc-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
